slide,species,tissue,pmid,title,abstract,keywords,involve_cancer,tech,spot_num,gene_num,gsm_id,gse_id,feat1_gsm,feat2_gse,pmid_set,feat3_pmid,feat4_title_score,feat4_title,feat5_tech,tissue_norm,feat6_fingerprint,confidence,overlap_label
GSE144239_GSM4565823,human,skin,"32579974,38037084",Title 1: Multimodal Analysis of Composition and Spatial Architecture in Human Squamous Cell Carcinoma. Title 2: STmut: a framework for visualizing somatic alterations in spatial transcriptomics data of cancer.,"Abstract 1: To define the cellular composition and architecture of cutaneous squamous cell carcinoma (cSCC), we combined single-cell RNA sequencing with spatial transcriptomics and multiplexed ion beam imaging from a series of human cSCCs and matched normal skin. cSCC exhibited four tumor subpopulations, three recapitulating normal epidermal states, and a tumor-specific keratinocyte (TSK) population unique to cancer, which localized to a fibrovascular niche. Integration of single-cell and spatial data mapped ligand-receptor networks to specific cell types, revealing TSK cells as a hub for intercellular communication. Multiple features of potential immunosuppression were observed, including T regulatory cell (Treg) co-localization with CD8 T cells in compartmentalized tumor stroma. Finally, single-cell characterization of human tumor xenografts and in vivo CRISPR screens identified essential roles for specific tumor subpopulation-enriched gene networks in tumorigenesis. These data define cSCC tumor and stromal cell subpopulations, the spatial niches where they interact, and the communicating gene networks that they engage in cancer. Abstract 2: Spatial transcriptomic technologies, such as the Visium platform, measure gene expression in different regions of tissues. Here, we describe new software, STmut, to visualize somatic point mutations, allelic imbalance, and copy number alterations in Visium data. STmut is tested on fresh-frozen Visium data, formalin-fixed paraffin-embedded (FFPE) Visium data, and tumors with and without matching DNA sequencing data. Copy number is inferred on all conditions, but the chemistry of the FFPE platform does not permit analyses of single nucleotide variants. Taken together, we propose solutions to add the genetic dimension to spatial transcriptomic data and describe the limitations of different datatypes.",Keywords 1: CRISPR screen; MIBI; intra-tumoral heterogeneity; multi-omics; scRNA-seq; skin cancer; spatial transcriptomics; squamous cell carcinoma; tumor immunology; tumor microenvironment. Keywords 2:,True,Visium,744,33538,GSM4565823,GSE144239,False,False,"{'32579974', '38037084'}",False,0.425,False,True,skin,True,0.4,POSSIBLE
GSE144239_GSM4565824,human,skin,"32579974,38037084",Title 1: Multimodal Analysis of Composition and Spatial Architecture in Human Squamous Cell Carcinoma. Title 2: STmut: a framework for visualizing somatic alterations in spatial transcriptomics data of cancer.,"Abstract 1: To define the cellular composition and architecture of cutaneous squamous cell carcinoma (cSCC), we combined single-cell RNA sequencing with spatial transcriptomics and multiplexed ion beam imaging from a series of human cSCCs and matched normal skin. cSCC exhibited four tumor subpopulations, three recapitulating normal epidermal states, and a tumor-specific keratinocyte (TSK) population unique to cancer, which localized to a fibrovascular niche. Integration of single-cell and spatial data mapped ligand-receptor networks to specific cell types, revealing TSK cells as a hub for intercellular communication. Multiple features of potential immunosuppression were observed, including T regulatory cell (Treg) co-localization with CD8 T cells in compartmentalized tumor stroma. Finally, single-cell characterization of human tumor xenografts and in vivo CRISPR screens identified essential roles for specific tumor subpopulation-enriched gene networks in tumorigenesis. These data define cSCC tumor and stromal cell subpopulations, the spatial niches where they interact, and the communicating gene networks that they engage in cancer. Abstract 2: Spatial transcriptomic technologies, such as the Visium platform, measure gene expression in different regions of tissues. Here, we describe new software, STmut, to visualize somatic point mutations, allelic imbalance, and copy number alterations in Visium data. STmut is tested on fresh-frozen Visium data, formalin-fixed paraffin-embedded (FFPE) Visium data, and tumors with and without matching DNA sequencing data. Copy number is inferred on all conditions, but the chemistry of the FFPE platform does not permit analyses of single nucleotide variants. Taken together, we propose solutions to add the genetic dimension to spatial transcriptomic data and describe the limitations of different datatypes.",Keywords 1: CRISPR screen; MIBI; intra-tumoral heterogeneity; multi-omics; scRNA-seq; skin cancer; spatial transcriptomics; squamous cell carcinoma; tumor immunology; tumor microenvironment. Keywords 2:,True,Visium,696,33538,GSM4565824,GSE144239,False,False,"{'32579974', '38037084'}",False,0.425,False,True,skin,True,0.4,POSSIBLE
GSE144239_GSM4565825,human,skin,"32579974,38037084",Title 1: Multimodal Analysis of Composition and Spatial Architecture in Human Squamous Cell Carcinoma. Title 2: STmut: a framework for visualizing somatic alterations in spatial transcriptomics data of cancer.,"Abstract 1: To define the cellular composition and architecture of cutaneous squamous cell carcinoma (cSCC), we combined single-cell RNA sequencing with spatial transcriptomics and multiplexed ion beam imaging from a series of human cSCCs and matched normal skin. cSCC exhibited four tumor subpopulations, three recapitulating normal epidermal states, and a tumor-specific keratinocyte (TSK) population unique to cancer, which localized to a fibrovascular niche. Integration of single-cell and spatial data mapped ligand-receptor networks to specific cell types, revealing TSK cells as a hub for intercellular communication. Multiple features of potential immunosuppression were observed, including T regulatory cell (Treg) co-localization with CD8 T cells in compartmentalized tumor stroma. Finally, single-cell characterization of human tumor xenografts and in vivo CRISPR screens identified essential roles for specific tumor subpopulation-enriched gene networks in tumorigenesis. These data define cSCC tumor and stromal cell subpopulations, the spatial niches where they interact, and the communicating gene networks that they engage in cancer. Abstract 2: Spatial transcriptomic technologies, such as the Visium platform, measure gene expression in different regions of tissues. Here, we describe new software, STmut, to visualize somatic point mutations, allelic imbalance, and copy number alterations in Visium data. STmut is tested on fresh-frozen Visium data, formalin-fixed paraffin-embedded (FFPE) Visium data, and tumors with and without matching DNA sequencing data. Copy number is inferred on all conditions, but the chemistry of the FFPE platform does not permit analyses of single nucleotide variants. Taken together, we propose solutions to add the genetic dimension to spatial transcriptomic data and describe the limitations of different datatypes.",Keywords 1: CRISPR screen; MIBI; intra-tumoral heterogeneity; multi-omics; scRNA-seq; skin cancer; spatial transcriptomics; squamous cell carcinoma; tumor immunology; tumor microenvironment. Keywords 2:,True,Visium,3650,33538,GSM4565825,GSE144239,False,False,"{'32579974', '38037084'}",False,0.425,False,True,skin,True,0.4,POSSIBLE
GSE144239_GSM4565826,human,skin,"32579974,38037084",Title 1: Multimodal Analysis of Composition and Spatial Architecture in Human Squamous Cell Carcinoma. Title 2: STmut: a framework for visualizing somatic alterations in spatial transcriptomics data of cancer.,"Abstract 1: To define the cellular composition and architecture of cutaneous squamous cell carcinoma (cSCC), we combined single-cell RNA sequencing with spatial transcriptomics and multiplexed ion beam imaging from a series of human cSCCs and matched normal skin. cSCC exhibited four tumor subpopulations, three recapitulating normal epidermal states, and a tumor-specific keratinocyte (TSK) population unique to cancer, which localized to a fibrovascular niche. Integration of single-cell and spatial data mapped ligand-receptor networks to specific cell types, revealing TSK cells as a hub for intercellular communication. Multiple features of potential immunosuppression were observed, including T regulatory cell (Treg) co-localization with CD8 T cells in compartmentalized tumor stroma. Finally, single-cell characterization of human tumor xenografts and in vivo CRISPR screens identified essential roles for specific tumor subpopulation-enriched gene networks in tumorigenesis. These data define cSCC tumor and stromal cell subpopulations, the spatial niches where they interact, and the communicating gene networks that they engage in cancer. Abstract 2: Spatial transcriptomic technologies, such as the Visium platform, measure gene expression in different regions of tissues. Here, we describe new software, STmut, to visualize somatic point mutations, allelic imbalance, and copy number alterations in Visium data. STmut is tested on fresh-frozen Visium data, formalin-fixed paraffin-embedded (FFPE) Visium data, and tumors with and without matching DNA sequencing data. Copy number is inferred on all conditions, but the chemistry of the FFPE platform does not permit analyses of single nucleotide variants. Taken together, we propose solutions to add the genetic dimension to spatial transcriptomic data and describe the limitations of different datatypes.",Keywords 1: CRISPR screen; MIBI; intra-tumoral heterogeneity; multi-omics; scRNA-seq; skin cancer; spatial transcriptomics; squamous cell carcinoma; tumor immunology; tumor microenvironment. Keywords 2:,True,Visium,3838,33538,GSM4565826,GSE144239,False,False,"{'32579974', '38037084'}",False,0.425,False,True,skin,True,0.4,POSSIBLE
GSE179572_GSM5420749,human,brain,"35584630,35707680",Title 1: Distinct phenotypic states and spatial distribution of CD8+ T cell clonotypes in human brain metastases. Title 2: Localization of T cell clonotypes using the Visium spatial transcriptomics platform.,"Abstract 1: Metastatic disease in the brain is difficult to control and predicts poor prognosis. Here, we analyze human brain metastases and demonstrate their robust infiltration by CD8+ T cell subsets with distinct antigen specificities, phenotypic states, and spatial localization within the tumor microenvironment. Brain metastases are densely infiltrated by T cells; the majority of infiltrating CD8+ T cells express PD-1. Single-cell RNA sequencing shows significant clonal overlap between proliferating and exhausted CD8+ T cells, but these subsets have minimal clonal overlap with circulating and other tumor-infiltrating CD8+ T cells, including bystander CD8+ T cells specific for microbial antigens. Using spatial transcriptomics and spatial T cell receptor (TCR) sequencing, we show these clonally unrelated, phenotypically distinct CD8+ T cell populations occupy discrete niches within the brain metastasis tumor microenvironment. Together, our work identifies signaling pathways within CD8+ T cells and in their surrounding environment that may be targeted for immunotherapy of brain metastases. Abstract 2: We present a protocol to localize T cell receptor clones using the Visium spatial transcriptomics platform. This approach permits simultaneous localization of both gene expression and T cell clonotypes in situ within tissue sections. T cell receptor sequences identified by this protocol are readily recapitulated by single-cell sequencing. This technique enables detailed studies of the spatial organization of the human T cell repertoire, such as the localization of infiltrating T cell clones within the tumor microenvironment. For complete details on the use and execution of this protocol, please refer to Sudmeier et al. (2022).",Keywords 1: CD8(+) T cells; TCR-sequencing; brain metastases; bystander; exhaustion; spatial transcriptomics. Keywords 2: Immunology; Molecular Biology; Sequence analysis.,True,Visium,2112,36601,GSM5420749,GSE179572,False,False,"{'35707680', '35584630'}",False,0.413,False,True,brain,True,0.4,POSSIBLE
GSE179572_GSM5420750,human,brain,"35584630,35707680",Title 1: Distinct phenotypic states and spatial distribution of CD8+ T cell clonotypes in human brain metastases. Title 2: Localization of T cell clonotypes using the Visium spatial transcriptomics platform.,"Abstract 1: Metastatic disease in the brain is difficult to control and predicts poor prognosis. Here, we analyze human brain metastases and demonstrate their robust infiltration by CD8+ T cell subsets with distinct antigen specificities, phenotypic states, and spatial localization within the tumor microenvironment. Brain metastases are densely infiltrated by T cells; the majority of infiltrating CD8+ T cells express PD-1. Single-cell RNA sequencing shows significant clonal overlap between proliferating and exhausted CD8+ T cells, but these subsets have minimal clonal overlap with circulating and other tumor-infiltrating CD8+ T cells, including bystander CD8+ T cells specific for microbial antigens. Using spatial transcriptomics and spatial T cell receptor (TCR) sequencing, we show these clonally unrelated, phenotypically distinct CD8+ T cell populations occupy discrete niches within the brain metastasis tumor microenvironment. Together, our work identifies signaling pathways within CD8+ T cells and in their surrounding environment that may be targeted for immunotherapy of brain metastases. Abstract 2: We present a protocol to localize T cell receptor clones using the Visium spatial transcriptomics platform. This approach permits simultaneous localization of both gene expression and T cell clonotypes in situ within tissue sections. T cell receptor sequences identified by this protocol are readily recapitulated by single-cell sequencing. This technique enables detailed studies of the spatial organization of the human T cell repertoire, such as the localization of infiltrating T cell clones within the tumor microenvironment. For complete details on the use and execution of this protocol, please refer to Sudmeier et al. (2022).",Keywords 1: CD8(+) T cells; TCR-sequencing; brain metastases; bystander; exhaustion; spatial transcriptomics. Keywords 2: Immunology; Molecular Biology; Sequence analysis.,True,Visium,1716,36601,GSM5420750,GSE179572,False,False,"{'35707680', '35584630'}",False,0.413,False,True,brain,True,0.4,POSSIBLE
GSE179572_GSM5420751,human,brain,"35584630,35707680",Title 1: Distinct phenotypic states and spatial distribution of CD8+ T cell clonotypes in human brain metastases. Title 2: Localization of T cell clonotypes using the Visium spatial transcriptomics platform.,"Abstract 1: Metastatic disease in the brain is difficult to control and predicts poor prognosis. Here, we analyze human brain metastases and demonstrate their robust infiltration by CD8+ T cell subsets with distinct antigen specificities, phenotypic states, and spatial localization within the tumor microenvironment. Brain metastases are densely infiltrated by T cells; the majority of infiltrating CD8+ T cells express PD-1. Single-cell RNA sequencing shows significant clonal overlap between proliferating and exhausted CD8+ T cells, but these subsets have minimal clonal overlap with circulating and other tumor-infiltrating CD8+ T cells, including bystander CD8+ T cells specific for microbial antigens. Using spatial transcriptomics and spatial T cell receptor (TCR) sequencing, we show these clonally unrelated, phenotypically distinct CD8+ T cell populations occupy discrete niches within the brain metastasis tumor microenvironment. Together, our work identifies signaling pathways within CD8+ T cells and in their surrounding environment that may be targeted for immunotherapy of brain metastases. Abstract 2: We present a protocol to localize T cell receptor clones using the Visium spatial transcriptomics platform. This approach permits simultaneous localization of both gene expression and T cell clonotypes in situ within tissue sections. T cell receptor sequences identified by this protocol are readily recapitulated by single-cell sequencing. This technique enables detailed studies of the spatial organization of the human T cell repertoire, such as the localization of infiltrating T cell clones within the tumor microenvironment. For complete details on the use and execution of this protocol, please refer to Sudmeier et al. (2022).",Keywords 1: CD8(+) T cells; TCR-sequencing; brain metastases; bystander; exhaustion; spatial transcriptomics. Keywords 2: Immunology; Molecular Biology; Sequence analysis.,True,Visium,946,36601,GSM5420751,GSE179572,False,False,"{'35707680', '35584630'}",False,0.413,False,True,brain,True,0.4,POSSIBLE
GSE179572_GSM5420752,human,brain,"35584630,35707680",Title 1: Distinct phenotypic states and spatial distribution of CD8+ T cell clonotypes in human brain metastases. Title 2: Localization of T cell clonotypes using the Visium spatial transcriptomics platform.,"Abstract 1: Metastatic disease in the brain is difficult to control and predicts poor prognosis. Here, we analyze human brain metastases and demonstrate their robust infiltration by CD8+ T cell subsets with distinct antigen specificities, phenotypic states, and spatial localization within the tumor microenvironment. Brain metastases are densely infiltrated by T cells; the majority of infiltrating CD8+ T cells express PD-1. Single-cell RNA sequencing shows significant clonal overlap between proliferating and exhausted CD8+ T cells, but these subsets have minimal clonal overlap with circulating and other tumor-infiltrating CD8+ T cells, including bystander CD8+ T cells specific for microbial antigens. Using spatial transcriptomics and spatial T cell receptor (TCR) sequencing, we show these clonally unrelated, phenotypically distinct CD8+ T cell populations occupy discrete niches within the brain metastasis tumor microenvironment. Together, our work identifies signaling pathways within CD8+ T cells and in their surrounding environment that may be targeted for immunotherapy of brain metastases. Abstract 2: We present a protocol to localize T cell receptor clones using the Visium spatial transcriptomics platform. This approach permits simultaneous localization of both gene expression and T cell clonotypes in situ within tissue sections. T cell receptor sequences identified by this protocol are readily recapitulated by single-cell sequencing. This technique enables detailed studies of the spatial organization of the human T cell repertoire, such as the localization of infiltrating T cell clones within the tumor microenvironment. For complete details on the use and execution of this protocol, please refer to Sudmeier et al. (2022).",Keywords 1: CD8(+) T cells; TCR-sequencing; brain metastases; bystander; exhaustion; spatial transcriptomics. Keywords 2: Immunology; Molecular Biology; Sequence analysis.,True,Visium,1298,36601,GSM5420752,GSE179572,False,False,"{'35707680', '35584630'}",False,0.413,False,True,brain,True,0.4,POSSIBLE
GSE179572_GSM5420753,human,brain,"35584630,35707680",Title 1: Distinct phenotypic states and spatial distribution of CD8+ T cell clonotypes in human brain metastases. Title 2: Localization of T cell clonotypes using the Visium spatial transcriptomics platform.,"Abstract 1: Metastatic disease in the brain is difficult to control and predicts poor prognosis. Here, we analyze human brain metastases and demonstrate their robust infiltration by CD8+ T cell subsets with distinct antigen specificities, phenotypic states, and spatial localization within the tumor microenvironment. Brain metastases are densely infiltrated by T cells; the majority of infiltrating CD8+ T cells express PD-1. Single-cell RNA sequencing shows significant clonal overlap between proliferating and exhausted CD8+ T cells, but these subsets have minimal clonal overlap with circulating and other tumor-infiltrating CD8+ T cells, including bystander CD8+ T cells specific for microbial antigens. Using spatial transcriptomics and spatial T cell receptor (TCR) sequencing, we show these clonally unrelated, phenotypically distinct CD8+ T cell populations occupy discrete niches within the brain metastasis tumor microenvironment. Together, our work identifies signaling pathways within CD8+ T cells and in their surrounding environment that may be targeted for immunotherapy of brain metastases. Abstract 2: We present a protocol to localize T cell receptor clones using the Visium spatial transcriptomics platform. This approach permits simultaneous localization of both gene expression and T cell clonotypes in situ within tissue sections. T cell receptor sequences identified by this protocol are readily recapitulated by single-cell sequencing. This technique enables detailed studies of the spatial organization of the human T cell repertoire, such as the localization of infiltrating T cell clones within the tumor microenvironment. For complete details on the use and execution of this protocol, please refer to Sudmeier et al. (2022).",Keywords 1: CD8(+) T cells; TCR-sequencing; brain metastases; bystander; exhaustion; spatial transcriptomics. Keywords 2: Immunology; Molecular Biology; Sequence analysis.,True,Visium,4342,36601,GSM5420753,GSE179572,False,False,"{'35707680', '35584630'}",False,0.413,False,True,brain,True,0.4,POSSIBLE
GSE179572_GSM5420754,human,brain,"35584630,35707680",Title 1: Distinct phenotypic states and spatial distribution of CD8+ T cell clonotypes in human brain metastases. Title 2: Localization of T cell clonotypes using the Visium spatial transcriptomics platform.,"Abstract 1: Metastatic disease in the brain is difficult to control and predicts poor prognosis. Here, we analyze human brain metastases and demonstrate their robust infiltration by CD8+ T cell subsets with distinct antigen specificities, phenotypic states, and spatial localization within the tumor microenvironment. Brain metastases are densely infiltrated by T cells; the majority of infiltrating CD8+ T cells express PD-1. Single-cell RNA sequencing shows significant clonal overlap between proliferating and exhausted CD8+ T cells, but these subsets have minimal clonal overlap with circulating and other tumor-infiltrating CD8+ T cells, including bystander CD8+ T cells specific for microbial antigens. Using spatial transcriptomics and spatial T cell receptor (TCR) sequencing, we show these clonally unrelated, phenotypically distinct CD8+ T cell populations occupy discrete niches within the brain metastasis tumor microenvironment. Together, our work identifies signaling pathways within CD8+ T cells and in their surrounding environment that may be targeted for immunotherapy of brain metastases. Abstract 2: We present a protocol to localize T cell receptor clones using the Visium spatial transcriptomics platform. This approach permits simultaneous localization of both gene expression and T cell clonotypes in situ within tissue sections. T cell receptor sequences identified by this protocol are readily recapitulated by single-cell sequencing. This technique enables detailed studies of the spatial organization of the human T cell repertoire, such as the localization of infiltrating T cell clones within the tumor microenvironment. For complete details on the use and execution of this protocol, please refer to Sudmeier et al. (2022).",Keywords 1: CD8(+) T cells; TCR-sequencing; brain metastases; bystander; exhaustion; spatial transcriptomics. Keywords 2: Immunology; Molecular Biology; Sequence analysis.,True,Visium,2152,36601,GSM5420754,GSE179572,False,False,"{'35707680', '35584630'}",False,0.413,False,True,brain,True,0.4,POSSIBLE
